time_s,q_deg_A1,q_deg_A2,q_deg_A3,q_deg_A4,q_deg_A5,q_deg_A6,qd_deg_s_A1,qd_deg_s_A2,qd_deg_s_A3,qd_deg_s_A4,qd_deg_s_A5,qd_deg_s_A6,qdd_deg_s2_A1,qdd_deg_s2_A2,qdd_deg_s2_A3,qdd_deg_s2_A4,qdd_deg_s2_A5,qdd_deg_s2_A6,flange_x_m,flange_y_m,flange_z_m
2.33,55.3553726878519,34.5812681358272,-63.0330590317779,92.2589544797532,43.838843171963,166.066118063556,18.0520978518518,21.0607808271605,-27.0781467777778,30.0868297530864,4.51302446296296,54.1562935555555,-38.3914962962964,-44.7900790123458,57.5872444444446,-63.985827160494,-9.5978740740741,-115.174488888889,0.340861995813242,0.593114941480676,1.04988693587916
2.335,55.4451531741064,34.6860120364575,-63.1677297611597,92.4085886235107,43.8612882935266,166.335459522319,17.8600755601853,20.8367548202161,-26.7901133402779,29.7667926003088,4.46501889004631,53.5802266805558,-38.4168037037037,-44.8196043209876,57.6252055555555,-64.0280061728395,-9.60420092592592,-115.250411111111,0.340165314139808,0.59401699612841,1.04976521706463
2.34,55.533973248,34.789635456,-63.300959872,92.55662208,43.883493312,166.601919744,17.667936,20.612592,-26.501904,29.44656,4.416984,53.003808,-38.4384,-44.8447999999999,57.6575999999999,-64.0639999999999,-9.60959999999999,-115.3152,0.339473810015964,0.594907526855286,1.04964350568467
2.345,55.6218323696714,34.8921377646166,-63.4327485545071,92.7030539494523,43.9054580924178,166.865497109014,17.4756977824073,20.3883140794752,-26.213546673611,29.1261629706789,4.36892444560184,52.427093347222,-38.4562629629629,-44.8656401234567,57.6843944444444,-64.0937716049382,-9.61406574074073,-115.368788888889,0.338787566286952,0.595786581869468,1.04952184458992
2.35,55.7087300925926,34.993518441358,-63.5630951388889,92.8478834876543,43.9271825231481,167.126190277778,17.2833796296296,20.1639429012345,-25.9250694444444,28.8056327160493,4.3208449074074,51.8501388888888,-38.4703703703704,-44.8820987654321,57.7055555555556,-64.1172839506173,-9.6175925925926,-115.411111111111,0.338106664008357,0.596654210164735,1.04940027606088
2.355,55.794666064125,35.0937770748125,-63.6919990961875,92.991110106875,43.9486665160312,167.383998192375,17.091000375,19.9395004375,-25.6365005625,28.485000625,4.27275009375,51.273001125,-38.4807,-44.89415,57.72105,-64.1345,-9.62017499999999,-115.4421,0.337431182435327,0.597510461501555,1.0492788417999
2.36,55.879640026074,35.192913363753,-63.8194600391111,93.1327333767901,43.9699100065185,167.638920078222,16.898578962963,19.7150087901235,-25.3478684444445,28.164298271605,4.22464474074076,50.6957368888891,-38.4872296296298,-44.9017679012347,57.7308444444446,-64.1453827160496,-9.62180740740744,-115.461688888889,0.336761199012224,0.598355386388501,1.04915758292336
2.365,55.9636518152454,35.2909271177863,-63.945477722868,93.2727530254089,43.9909129538113,167.890955445736,16.706134449074,19.4904901905864,-25.059201673611,27.8435574151234,4.17653361226851,50.1184033472221,-38.4899370370371,-44.90492654321,57.7349055555557,-64.1498950617285,-9.62248425925928,-115.469811111111,0.336096789362685,0.599189036064022,1.04903653995411
2.37,56.046701364,35.387818258,-64.070052046,93.41116894,44.011675341,168.140104092,16.513686,19.2659670000001,-24.7705290000001,27.5228100000001,4.12842150000001,49.5410580000001,-38.4888000000001,-44.9036000000001,57.7332000000001,-64.1480000000001,-9.62220000000002,-115.4664,0.335438027280107,0.600011462478578,1.04891575281405
2.375,56.1287887008102,35.4835868176119,-64.1931830512153,93.547981168017,44.0321971752025,168.386366102431,16.3212528935185,19.0414617091049,-24.4818793402778,27.2020881558642,4.08031322337963,48.9637586805555,-38.4837962962962,-44.8977623456789,57.7256944444444,-64.1396604938271,-9.62094907407406,-115.451388888889,0.334784984718525,0.60082271827714,1.04879526081692
